100,Clientes,Prueba 1
RMI,Cliente_20,78
RMI,Cliente_0,550
TCP-mean,Cliente_0,0.6283185840707964
RMI,Cliente_61,575
TCP-mean,Cliente_61,0.5442477876106194
TCP-stdDev,Cliente_0,5.545379469073846
Errores-TCP,Cliente_0,0
Errores-RMI,Cliente_0,0
TCP-stdDev,Cliente_61,4.468205041466094
Errores-TCP,Cliente_61,0
Errores-RMI,Cliente_61,0
RMI,Cliente_91,94
TCP-mean,Cliente_91,0.4814004376367615
TCP-stdDev,Cliente_91,3.0308739211429163
Errores-TCP,Cliente_91,0
Errores-RMI,Cliente_91,0
RMI,Cliente_51,110
TCP-mean,Cliente_51,0.4923413566739606
TCP-stdDev,Cliente_51,2.9989871356362903
Errores-TCP,Cliente_51,0
Errores-RMI,Cliente_51,0
RMI,Cliente_21,94
RMI,Cliente_6,78
TCP-mean,Cliente_6,0.3318777292576419
TCP-mean,Cliente_21,0.314410480349345
TCP-stdDev,Cliente_21,2.2403236328659335
Errores-TCP,Cliente_21,0
Errores-RMI,Cliente_21,0
RMI,Cliente_46,546
TCP-mean,Cliente_46,0.4878587196467991
RMI,Cliente_24,78
RMI,Cliente_8,78
RMI,Cliente_25,591
RMI,Cliente_56,653
RMI,Cliente_11,653
TCP-mean,Cliente_11,0.41150442477876104
TCP-mean,Cliente_56,0.42920353982300885
TCP-stdDev,Cliente_11,1.6465707035650885
Errores-TCP,Cliente_11,0
Errores-RMI,Cliente_11,0
TCP-stdDev,Cliente_56,1.6674489771249048
Errores-TCP,Cliente_56,0
Errores-RMI,Cliente_56,0
TCP-mean,Cliente_25,0.30022075055187636
RMI,Cliente_49,110
TCP-stdDev,Cliente_25,3.6777386449655527
Errores-TCP,Cliente_25,0
Errores-RMI,Cliente_25,0
TCP-mean,Cliente_8,0.29475982532751094
TCP-stdDev,Cliente_8,2.235680988826603
Errores-TCP,Cliente_8,0
Errores-RMI,Cliente_8,0
RMI,Cliente_41,606
TCP-mean,Cliente_41,0.2560706401766004
TCP-stdDev,Cliente_41,2.982767210732414
Errores-TCP,Cliente_41,0
Errores-RMI,Cliente_41,0
RMI,Cliente_35,110
TCP-mean,Cliente_35,0.28602620087336245
TCP-stdDev,Cliente_35,1.5238501052985352
Errores-TCP,Cliente_35,0
Errores-RMI,Cliente_35,0
TCP-mean,Cliente_24,0.3384279475982533
RMI,Cliente_76,94
TCP-stdDev,Cliente_46,5.6928721210530036
Errores-TCP,Cliente_46,0
Errores-RMI,Cliente_46,0
TCP-stdDev,Cliente_6,2.2446221928296395
Errores-TCP,Cliente_6,0
RMI,Cliente_50,78
RMI,Cliente_54,94
RMI,Cliente_64,94
RMI,Cliente_42,78
TCP-mean,Cliente_64,0.3318777292576419
RMI,Cliente_33,0
TCP-stdDev,Cliente_64,2.2494805733054717
Errores-TCP,Cliente_64,0
Errores-RMI,Cliente_64,0
RMI,Cliente_32,141
RMI,Cliente_66,638
TCP-mean,Cliente_66,0.41814159292035397
TCP-mean,Cliente_32,0.4201312910284464
TCP-stdDev,Cliente_66,1.6562907960833337
Errores-TCP,Cliente_66,0
Errores-RMI,Cliente_66,0
RMI,Cliente_4,141
RMI,Cliente_19,606
TCP-mean,Cliente_4,0.4113785557986871
TCP-mean,Cliente_19,0.45353982300884954
TCP-mean,Cliente_20,0.31877729257641924
TCP-stdDev,Cliente_19,3.0402987802505375
Errores-TCP,Cliente_19,0
Errores-RMI,Cliente_19,0
RMI,Cliente_98,575
RMI,Cliente_12,622
TCP-mean,Cliente_98,0.5442477876106194
TCP-stdDev,Cliente_20,2.2571857672677256
Errores-TCP,Cliente_20,0
Errores-RMI,Cliente_20,0
TCP-stdDev,Cliente_4,1.6476631761481693
Errores-TCP,Cliente_4,0
Errores-RMI,Cliente_4,0
TCP-stdDev,Cliente_32,1.6414587578309163
Errores-TCP,Cliente_32,0
Errores-RMI,Cliente_32,0
TCP-mean,Cliente_33,0.29475982532751094
TCP-mean,Cliente_42,0.32096069868995636
TCP-mean,Cliente_54,0.32096069868995636
TCP-mean,Cliente_50,0.32751091703056767
Errores-RMI,Cliente_6,0
TCP-stdDev,Cliente_50,2.249149942501519
Errores-TCP,Cliente_50,0
Errores-RMI,Cliente_50,0
TCP-mean,Cliente_76,0.314410480349345
TCP-stdDev,Cliente_24,2.265434045633249
Errores-TCP,Cliente_24,0
RMI,Cliente_28,78
RMI,Cliente_52,622
