500, Clientes,Prueba 1
RMI,Cliente_39,0
TCP-mean,Cliente_39,2.175046554934823
TCP-stdDev,Cliente_39,2.2627851626772486
Errores-TCP,Cliente_39,0
Errores-RMI,Cliente_39,0
RMI,Cliente_386,0
TCP-mean,Cliente_386,2.7944444444444443
TCP-stdDev,Cliente_386,14.175238147671756
Errores-TCP,Cliente_386,0
Errores-RMI,Cliente_386,0
RMI,Cliente_434,0
TCP-mean,Cliente_434,2.290262172284644
RMI,Cliente_83,0
TCP-mean,Cliente_83,2.3041044776119404
TCP-stdDev,Cliente_434,2.6165739970097452
Errores-TCP,Cliente_434,0
Errores-RMI,Cliente_434,0
TCP-stdDev,Cliente_83,2.465217350681148
Errores-TCP,Cliente_83,0
Errores-RMI,Cliente_83,0
RMI,Cliente_417,0
RMI,Cliente_30,0
TCP-mean,Cliente_417,2.3638059701492535
TCP-mean,Cliente_30,2.3009345794392524
TCP-stdDev,Cliente_417,2.300250568692535
Errores-TCP,Cliente_417,0
Errores-RMI,Cliente_417,0
RMI,Cliente_480,0
RMI,Cliente_359,0
TCP-mean,Cliente_480,2.2734082397003745
RMI,Cliente_499,0
TCP-mean,Cliente_499,2.3638059701492535
TCP-stdDev,Cliente_480,3.3189057797583463
Errores-TCP,Cliente_480,0
Errores-RMI,Cliente_480,0
TCP-stdDev,Cliente_499,2.515644273661549
Errores-TCP,Cliente_499,0
Errores-RMI,Cliente_499,0
RMI,Cliente_389,0
TCP-mean,Cliente_389,2.258845437616387
TCP-stdDev,Cliente_389,2.3210719944238143
Errores-TCP,Cliente_389,0
Errores-RMI,Cliente_389,0
RMI,Cliente_410,0
RMI,Cliente_209,0
TCP-mean,Cliente_410,2.3869158878504675
TCP-mean,Cliente_209,2.417910447761194
TCP-stdDev,Cliente_410,5.209428621549486
RMI,Cliente_47,0
RMI,Cliente_99,0
TCP-mean,Cliente_47,2.378228782287823
RMI,Cliente_439,0
TCP-stdDev,Cliente_47,4.806488369082344
Errores-TCP,Cliente_47,0
Errores-RMI,Cliente_47,0
RMI,Cliente_70,8
TCP-mean,Cliente_70,2.8126159554730985
RMI,Cliente_230,0
TCP-stdDev,Cliente_70,15.336550628450981
Errores-TCP,Cliente_70,0
Errores-RMI,Cliente_70,0
RMI,Cliente_119,81
TCP-mean,Cliente_119,3.079925650557621
RMI,Cliente_252,0
TCP-mean,Cliente_252,2.499065420560748
TCP-stdDev,Cliente_119,14.530544881970618
Errores-TCP,Cliente_119,0
TCP-stdDev,Cliente_252,3.259421866261277
Errores-TCP,Cliente_252,0
RMI,Cliente_224,58
RMI,Cliente_163,0
TCP-mean,Cliente_224,2.738404452690167
RMI,Cliente_111,0
TCP-mean,Cliente_111,2.129151291512915
TCP-stdDev,Cliente_224,14.044067606325333
Errores-TCP,Cliente_224,0
Errores-RMI,Cliente_224,0
RMI,Cliente_492,0
RMI,Cliente_440,0
RMI,Cliente_164,0
RMI,Cliente_425,0
RMI,Cliente_397,0
TCP-mean,Cliente_164,2.4477611940298507
RMI,Cliente_143,0
RMI,Cliente_53,0
RMI,Cliente_226,0
TCP-mean,Cliente_143,2.1415270018621975
TCP-mean,Cliente_53,2.312384473197782
TCP-mean,Cliente_226,2.5314814814814817
TCP-stdDev,Cliente_143,2.4354779768102586
Errores-TCP,Cliente_143,0
Errores-RMI,Cliente_143,0
TCP-stdDev,Cliente_164,3.303248433228784
RMI,Cliente_406,0
RMI,Cliente_299,0
TCP-mean,Cliente_406,2.46455223880597
TCP-stdDev,Cliente_406,3.864622959669594
Errores-TCP,Cliente_406,0
Errores-RMI,Cliente_406,0
RMI,Cliente_287,0
TCP-mean,Cliente_287,2.5158878504672897
RMI,Cliente_391,0
TCP-mean,Cliente_391,2.0687732342007434
