150,Clientes,Prueba 1
RMI,Cliente_35,532
RMI,Cliente_24,657
RMI,Cliente_63,626
TCP-mean,Cliente_24,0.4818181818181818
TCP-mean,Cliente_63,0.5241935483870968
TCP-stdDev,Cliente_63,3.934880638590941
Errores-TCP,Cliente_63,0
Errores-RMI,Cliente_63,0
RMI,Cliente_8,517
TCP-stdDev,Cliente_24,3.119047498881052
Errores-TCP,Cliente_24,0
Errores-RMI,Cliente_24,0
TCP-mean,Cliente_8,0.4118831822759315
RMI,Cliente_128,220
RMI,Cliente_30,220
TCP-mean,Cliente_128,0.4904522613065327
TCP-mean,Cliente_30,0.5075225677031093
TCP-stdDev,Cliente_128,2.640363020663347
Errores-TCP,Cliente_128,0
Errores-RMI,Cliente_128,0
TCP-stdDev,Cliente_30,2.6864184545750547
Errores-TCP,Cliente_30,0
Errores-RMI,Cliente_30,0
RMI,Cliente_9,626
RMI,Cliente_3,236
TCP-mean,Cliente_3,0.5316582914572864
TCP-stdDev,Cliente_3,2.3135503756179276
Errores-TCP,Cliente_3,0
Errores-RMI,Cliente_3,0
RMI,Cliente_130,657
RMI,Cliente_107,204
TCP-mean,Cliente_130,0.5327951564076691
RMI,Cliente_86,657
TCP-mean,Cliente_107,0.5311244979919679
TCP-mean,Cliente_86,0.5050505050505051
TCP-stdDev,Cliente_107,3.191044688716104
Errores-TCP,Cliente_107,0
Errores-RMI,Cliente_107,0
TCP-stdDev,Cliente_86,3.196822087964267
RMI,Cliente_136,16
RMI,Cliente_108,267
RMI,Cliente_88,547
TCP-mean,Cliente_136,0.3855421686746988
TCP-mean,Cliente_88,0.5383064516129032
RMI,Cliente_131,0
TCP-stdDev,Cliente_136,1.3285374871066071
Errores-TCP,Cliente_136,0
Errores-RMI,Cliente_136,0
TCP-stdDev,Cliente_88,6.012465575218467
Errores-TCP,Cliente_88,0
Errores-RMI,Cliente_88,0
RMI,Cliente_129,642
RMI,Cliente_14,657
TCP-mean,Cliente_129,0.5494949494949495
TCP-mean,Cliente_14,0.45408678102926336
TCP-stdDev,Cliente_129,3.1560547465317663
Errores-TCP,Cliente_129,0
Errores-RMI,Cliente_129,0
RMI,Cliente_23,548
RMI,Cliente_47,704
TCP-mean,Cliente_47,0.48787878787878786
RMI,Cliente_116,642
TCP-mean,Cliente_116,0.5727272727272728
RMI,Cliente_90,626
TCP-mean,Cliente_90,0.6404040404040404
TCP-stdDev,Cliente_90,3.7588930025246285
Errores-TCP,Cliente_90,0
Errores-RMI,Cliente_90,0
RMI,Cliente_135,673
TCP-mean,Cliente_135,0.5515151515151515
TCP-stdDev,Cliente_135,2.7551371168416527
Errores-TCP,Cliente_135,0
Errores-RMI,Cliente_135,0
TCP-stdDev,Cliente_116,3.324573890272574
Errores-TCP,Cliente_116,0
Errores-RMI,Cliente_116,0
RMI,Cliente_1,532
RMI,Cliente_77,251
TCP-mean,Cliente_1,0.5307769929364279
TCP-mean,Cliente_77,0.4228456913827655
TCP-stdDev,Cliente_1,6.019042377487527
Errores-TCP,Cliente_1,0
Errores-RMI,Cliente_1,0
RMI,Cliente_126,220
TCP-mean,Cliente_126,0.506519558676028
RMI,Cliente_54,579
TCP-mean,Cliente_54,0.5277497477295661
TCP-stdDev,Cliente_126,2.441123691561149
Errores-TCP,Cliente_126,0
Errores-RMI,Cliente_126,0
TCP-stdDev,Cliente_54,5.060779613319421
Errores-TCP,Cliente_54,0
Errores-RMI,Cliente_54,0
RMI,Cliente_19,610
RMI,Cliente_125,16
TCP-mean,Cliente_19,0.5479313824419778
TCP-mean,Cliente_125,0.4307228915662651
RMI,Cliente_37,204
TCP-stdDev,Cliente_19,4.559891086398006
Errores-TCP,Cliente_19,0
Errores-RMI,Cliente_19,0
RMI,Cliente_95,626
TCP-stdDev,Cliente_125,1.395711978606974
Errores-TCP,Cliente_125,0
Errores-RMI,Cliente_125,0
TCP-mean,Cliente_95,0.5287588294651867
TCP-stdDev,Cliente_77,2.1906979328749245
Errores-TCP,Cliente_77,0
Errores-RMI,Cliente_77,0
RMI,Cliente_53,626
TCP-mean,Cliente_53,0.6871846619576185
RMI,Cliente_25,516
TCP-mean,Cliente_25,0.40040241448692154
TCP-stdDev,Cliente_53,5.691978107671378
Errores-TCP,Cliente_53,0
Errores-RMI,Cliente_53,0
TCP-stdDev,Cliente_47,1.4850618275924579
Errores-TCP,Cliente_47,0
Errores-RMI,Cliente_47,0
TCP-mean,Cliente_23,0.527693856998993
TCP-stdDev,Cliente_23,5.986682805698527
Errores-TCP,Cliente_23,0
Errores-RMI,Cliente_23,0
RMI,Cliente_101,267
TCP-mean,Cliente_101,0.4568273092369478
RMI,Cliente_102,642
TCP-mean,Cliente_102,0.5464646464646464
TCP-stdDev,Cliente_102,3.1838231617847814
Errores-TCP,Cliente_102,0
Errores-RMI,Cliente_102,0
RMI,Cliente_99,673
TCP-mean,Cliente_99,0.520686175580222
TCP-stdDev,Cliente_14,3.0876305004815183
Errores-TCP,Cliente_14,0
Errores-RMI,Cliente_14,0
TCP-stdDev,Cliente_99,2.712107236888002
Errores-TCP,Cliente_99,0
Errores-RMI,Cliente_99,0
RMI,Cliente_26,267
TCP-mean,Cliente_131,0.4186746987951807
TCP-mean,Cliente_108,0.4789156626506024
TCP-stdDev,Cliente_131,1.3842243165167012
Errores-TCP,Cliente_131,0
Errores-RMI,Cliente_131,0
TCP-stdDev,Cliente_108,2.0487426913541724
Errores-TCP,Cliente_108,0
Errores-RMI,Cliente_108,0
RMI,Cliente_43,641
TCP-mean,Cliente_43,0.6157735085945399
TCP-stdDev,Cliente_43,3.6475117123700467
Errores-TCP,Cliente_43,0
Errores-RMI,Cliente_43,0
RMI,Cliente_41,673
TCP-mean,Cliente_41,0.5474747474747474
RMI,Cliente_120,579
TCP-stdDev,Cliente_41,2.712348992560314
Errores-TCP,Cliente_41,0
Errores-RMI,Cliente_41,0
RMI,Cliente_117,0
TCP-mean,Cliente_117,0.4964824120603015
RMI,Cliente_140,563
TCP-stdDev,Cliente_117,1.8158259298400583
Errores-TCP,Cliente_117,0
Errores-RMI,Cliente_117,0
RMI,Cliente_32,547
TCP-mean,Cliente_32,0.5987903225806451
RMI,Cliente_87,594
TCP-mean,Cliente_87,0.56797583081571
TCP-stdDev,Cliente_87,5.067883754752394
Errores-TCP,Cliente_87,0
Errores-RMI,Cliente_87,0
RMI,Cliente_144,267
RMI,Cliente_74,642
RMI,Cliente_28,688
TCP-mean,Cliente_74,0.5428859737638748
TCP-mean,Cliente_28,0.4510595358224016
TCP-stdDev,Cliente_74,3.1959117657161245
Errores-TCP,Cliente_74,0
Errores-RMI,Cliente_74,0
TCP-stdDev,Cliente_28,1.363121154195958
Errores-TCP,Cliente_28,0
Errores-RMI,Cliente_28,0
RMI,Cliente_68,579
RMI,Cliente_119,704
RMI,Cliente_20,204
RMI,Cliente_109,657
TCP-mean,Cliente_109,0.4954591321897074
RMI,Cliente_50,642
TCP-mean,Cliente_50,0.4566532258064516
TCP-stdDev,Cliente_109,2.6875144973856058
Errores-TCP,Cliente_109,0
Errores-RMI,Cliente_109,0
