400, Clientes, Prueba 1
RMI,Cliente_232,959
RMI,Cliente_217,596
RMI,Cliente_326,2
TCP-mean,Cliente_326,3.05
TCP-mean,Cliente_217,3.3115384615384613
TCP-mean,Cliente_232,3.1923076923076925
RMI,Cliente_387,1
TCP-stdDev,Cliente_217,48.946141202946315
Errores-TCP,Cliente_217,0
Errores-RMI,Cliente_217,0
RMI,Cliente_265,0
RMI,Cliente_318,1639
TCP-mean,Cliente_318,2.1492921492921493
RMI,Cliente_88,384
TCP-stdDev,Cliente_318,19.488130635432622
Errores-TCP,Cliente_318,0
Errores-RMI,Cliente_318,0
RMI,Cliente_394,0
RMI,Cliente_116,1645
RMI,Cliente_246,1004
RMI,Cliente_270,1
RMI,Cliente_11,1
RMI,Cliente_239,955
TCP-mean,Cliente_239,3.2115384615384617
RMI,Cliente_252,1315
RMI,Cliente_365,1
RMI,Cliente_52,1
TCP-mean,Cliente_365,3.2858974358974358
TCP-mean,Cliente_52,3.2948717948717947
RMI,Cliente_204,0
RMI,Cliente_259,1
TCP-mean,Cliente_204,3.3953786906290118
TCP-mean,Cliente_259,3.0320924261874196
RMI,Cliente_197,0
TCP-mean,Cliente_197,3.505128205128205
TCP-stdDev,Cliente_259,41.138954826569766
Errores-TCP,Cliente_259,0
Errores-RMI,Cliente_259,0
TCP-stdDev,Cliente_197,55.995432271213126
Errores-TCP,Cliente_197,0
Errores-RMI,Cliente_197,0
RMI,Cliente_212,1317
RMI,Cliente_346,591
RMI,Cliente_317,928
RMI,Cliente_83,408
TCP-mean,Cliente_346,3.151670951156812
RMI,Cliente_24,385
RMI,Cliente_124,1
TCP-stdDev,Cliente_346,49.1931310494881
Errores-TCP,Cliente_346,0
Errores-RMI,Cliente_346,0
TCP-mean,Cliente_24,1.893178893178893
RMI,Cliente_152,590
RMI,Cliente_50,1244
RMI,Cliente_9,1
TCP-mean,Cliente_50,2.146718146718147
TCP-mean,Cliente_9,3.2525641025641026
TCP-stdDev,Cliente_24,12.870113127022702
Errores-TCP,Cliente_24,0
Errores-RMI,Cliente_24,0
TCP-stdDev,Cliente_9,48.98400111485618
Errores-TCP,Cliente_9,0
Errores-RMI,Cliente_9,0
TCP-mean,Cliente_124,3.6546854942233633
RMI,Cliente_110,0
RMI,Cliente_67,594
RMI,Cliente_35,941
RMI,Cliente_66,979
TCP-mean,Cliente_35,2.9781491002570695
RMI,Cliente_164,4
RMI,Cliente_340,809
TCP-stdDev,Cliente_35,42.38543652575776
Errores-TCP,Cliente_35,0
Errores-RMI,Cliente_35,0
TCP-mean,Cliente_340,2.017948717948718
RMI,Cliente_257,1
TCP-mean,Cliente_83,2.0903225806451613
TCP-stdDev,Cliente_340,11.851417134669203
Errores-TCP,Cliente_340,0
Errores-RMI,Cliente_340,0
RMI,Cliente_350,606
RMI,Cliente_105,4
TCP-mean,Cliente_350,3.300385109114249
RMI,Cliente_323,0
TCP-mean,Cliente_105,3.6538461538461537
TCP-stdDev,Cliente_350,48.61992319837361
Errores-TCP,Cliente_350,0
Errores-RMI,Cliente_350,0
RMI,Cliente_345,1
RMI,Cliente_294,0
TCP-mean,Cliente_345,3.6739409499358153
TCP-mean,Cliente_294,3.332051282051282
RMI,Cliente_363,540
TCP-stdDev,Cliente_294,46.761273133043375
Errores-TCP,Cliente_294,0
Errores-RMI,Cliente_294,0
TCP-mean,Cliente_363,3.2570694087403598
RMI,Cliente_112,1
RMI,Cliente_397,0
TCP-mean,Cliente_112,3.398457583547558
TCP-mean,Cliente_397,3.386100386100386
TCP-stdDev,Cliente_112,51.76750574035064
Errores-TCP,Cliente_112,0
Errores-RMI,Cliente_112,0
TCP-stdDev,Cliente_363,51.55667490886533
Errores-TCP,Cliente_363,0
Errores-RMI,Cliente_363,0
RMI,Cliente_398,1
TCP-mean,Cliente_317,3.047496790757381
TCP-mean,Cliente_398,3.387676508344031
RMI,Cliente_330,961
RMI,Cliente_349,1
RMI,Cliente_215,810
TCP-mean,Cliente_215,2.06803594351733
TCP-mean,Cliente_349,3.645244215938303
TCP-stdDev,Cliente_215,11.82366125454045
Errores-TCP,Cliente_215,0
Errores-RMI,Cliente_215,0
TCP-stdDev,Cliente_349,55.77670879004404
Errores-TCP,Cliente_349,0
Errores-RMI,Cliente_349,0
RMI,Cliente_369,0
RMI,Cliente_157,0
TCP-mean,Cliente_369,3.089858793324775
RMI,Cliente_20,947
TCP-stdDev,Cliente_369,46.547334113499744
Errores-TCP,Cliente_369,0
Errores-RMI,Cliente_369,0
TCP-mean,Cliente_20,2.993581514762516
RMI,Cliente_182,410
TCP-mean,Cliente_182,2.3376288659793816
TCP-stdDev,Cliente_20,42.071809873327446
Errores-TCP,Cliente_20,0
Errores-RMI,Cliente_20,0
RMI,Cliente_357,4
RMI,Cliente_249,1
TCP-mean,Cliente_249,2.978120978120978
TCP-stdDev,Cliente_204,52.05716990817778
Errores-TCP,Cliente_204,0
Errores-RMI,Cliente_204,0
RMI,Cliente_13,593
RMI,Cliente_242,549
RMI,Cliente_21,1
TCP-mean,Cliente_242,2.9166666666666665
RMI,Cliente_130,582
TCP-stdDev,Cliente_242,51.06782296843105
RMI,Cliente_335,1030
RMI,Cliente_159,1
RMI,Cliente_367,1696
RMI,Cliente_32,1723
RMI,Cliente_78,0
RMI,Cliente_41,1
RMI,Cliente_183,1739
RMI,Cliente_29,0
RMI,Cliente_5,414
RMI,Cliente_332,365
RMI,Cliente_49,1
TCP-mean,Cliente_49,3.065468549422336
RMI,Cliente_285,0
RMI,Cliente_82,1320
TCP-stdDev,Cliente_49,55.93290567485657
Errores-TCP,Cliente_49,0
Errores-RMI,Cliente_49,0
TCP-mean,Cliente_82,1.7367741935483871
TCP-stdDev,Cliente_82,11.100497049928215
Errores-TCP,Cliente_82,0
Errores-RMI,Cliente_82,0
RMI,Cliente_109,1
TCP-mean,Cliente_109,3.278205128205128
RMI,Cliente_12,535
TCP-stdDev,Cliente_109,51.23866515664573
Errores-TCP,Cliente_109,0
Errores-RMI,Cliente_109,0
RMI,Cliente_163,797
TCP-mean,Cliente_163,1.9153846153846155
RMI,Cliente_327,894
RMI,Cliente_148,954
RMI,Cliente_211,933
TCP-mean,Cliente_148,2.6350832266325224
RMI,Cliente_359,413
RMI,Cliente_399,0
RMI,Cliente_40,799
RMI,Cliente_181,1
RMI,Cliente_55,1
RMI,Cliente_71,975
TCP-mean,Cliente_55,2.878361075544174
TCP-mean,Cliente_71,1.7307692307692308
RMI,Cliente_48,776
RMI,Cliente_218,957
TCP-stdDev,Cliente_52,41.64289854636192
Errores-TCP,Cliente_52,0
Errores-RMI,Cliente_52,0
TCP-stdDev,Cliente_365,45.830781908543024
Errores-TCP,Cliente_365,0
Errores-RMI,Cliente_365,0
TCP-stdDev,Cliente_239,41.42868596407649
Errores-TCP,Cliente_239,0
Errores-RMI,Cliente_239,0
TCP-mean,Cliente_252,1.8708010335917313
RMI,Cliente_372,953
TCP-mean,Cliente_372,2.8870346598202823
TCP-stdDev,Cliente_252,9.2170973660079
Errores-TCP,Cliente_252,0
Errores-RMI,Cliente_252,0
RMI,Cliente_262,1
TCP-mean,Cliente_262,3.5874035989717226
TCP-stdDev,Cliente_262,57.78533269122517
Errores-TCP,Cliente_262,0
Errores-RMI,Cliente_262,0
RMI,Cliente_380,732
TCP-mean,Cliente_380,1.9897435897435898
RMI,Cliente_258,679
RMI,Cliente_296,392
RMI,Cliente_368,1
RMI,Cliente_223,1
RMI,Cliente_304,0
TCP-mean,Cliente_223,2.980744544287548
TCP-mean,Cliente_368,3.694480102695764
TCP-stdDev,Cliente_223,41.9285214731511
Errores-TCP,Cliente_223,0
Errores-RMI,Cliente_223,0
TCP-mean,Cliente_270,3.6525641025641025
RMI,Cliente_140,458
TCP-stdDev,Cliente_270,58.74869169161661
Errores-TCP,Cliente_270,0
Errores-RMI,Cliente_270,0
RMI,Cliente_336,882
TCP-mean,Cliente_336,3.0140845070422535
TCP-mean,Cliente_11,2.8251928020565553
TCP-stdDev,Cliente_336,40.835933014763256
Errores-TCP,Cliente_336,0
Errores-RMI,Cliente_336,0
TCP-stdDev,Cliente_11,41.02720625683048
Errores-TCP,Cliente_11,0
Errores-RMI,Cliente_11,0
TCP-mean,Cliente_246,1.8793324775353017
RMI,Cliente_42,602
RMI,Cliente_290,610
RMI,Cliente_46,1386
TCP-mean,Cliente_46,1.998709677419355
RMI,Cliente_125,1347
TCP-mean,Cliente_125,1.7445161290322582
TCP-mean,Cliente_116,2.302056555269923
TCP-stdDev,Cliente_125,9.456823049271126
Errores-TCP,Cliente_125,0
Errores-RMI,Cliente_125,0
RMI,Cliente_273,5
TCP-mean,Cliente_273,3.5846153846153848
TCP-stdDev,Cliente_116,19.755901682727036
Errores-TCP,Cliente_116,0
Errores-RMI,Cliente_116,0
TCP-stdDev,Cliente_273,58.82221601271808
Errores-TCP,Cliente_273,0
Errores-RMI,Cliente_273,0
RMI,Cliente_395,1
TCP-mean,Cliente_395,3.61439588688946
TCP-mean,Cliente_394,3.7205128205128206
TCP-stdDev,Cliente_395,60.54614674199637
Errores-TCP,Cliente_395,0
Errores-RMI,Cliente_395,0
TCP-stdDev,Cliente_394,60.68101836225682
Errores-TCP,Cliente_394,0
Errores-RMI,Cliente_394,0
RMI,Cliente_135,950
TCP-mean,Cliente_135,3.1311053984575836
TCP-mean,Cliente_88,1.9961389961389961
RMI,Cliente_280,3
TCP-mean,Cliente_280,3.109114249037227
RMI,Cliente_190,0
TCP-mean,Cliente_190,3.4749679075738125
RMI,Cliente_377,0
TCP-stdDev,Cliente_280,48.051717502373194
Errores-TCP,Cliente_280,0
Errores-RMI,Cliente_280,0
RMI,Cliente_392,1652
TCP-mean,Cliente_392,2.125
TCP-stdDev,Cliente_392,19.89815807022421
Errores-TCP,Cliente_392,0
Errores-RMI,Cliente_392,0
RMI,Cliente_90,2
RMI,Cliente_39,923
RMI,Cliente_248,644
TCP-mean,Cliente_248,3.2249357326478147
RMI,Cliente_14,1255
TCP-mean,Cliente_14,2.151670951156812
RMI,Cliente_298,408
TCP-mean,Cliente_298,2.0502577319587627
TCP-stdDev,Cliente_248,47.25595725896519
Errores-TCP,Cliente_248,0
Errores-RMI,Cliente_248,0
TCP-stdDev,Cliente_298,16.882211706365016
Errores-TCP,Cliente_298,0
Errores-RMI,Cliente_298,0
TCP-stdDev,Cliente_14,19.400729547534084
Errores-TCP,Cliente_14,0
Errores-RMI,Cliente_14,0
RMI,Cliente_136,1646
TCP-mean,Cliente_136,2.303341902313625
RMI,Cliente_254,955
TCP-stdDev,Cliente_136,19.795302450694354
Errores-TCP,Cliente_136,0
Errores-RMI,Cliente_136,0
TCP-mean,Cliente_254,2.6274007682458387
RMI,Cliente_237,1
TCP-mean,Cliente_237,2.771501925545571
TCP-stdDev,Cliente_237,41.502297867663316
Errores-TCP,Cliente_237,0
Errores-RMI,Cliente_237,0
RMI,Cliente_253,908
TCP-mean,Cliente_253,3.1139564660691423
TCP-stdDev,Cliente_253,43.40900468127922
Errores-TCP,Cliente_253,0
Errores-RMI,Cliente_253,0
RMI,Cliente_240,370
TCP-mean,Cliente_240,3.6739409499358153
RMI,Cliente_389,2
TCP-mean,Cliente_389,3.6854942233632864
RMI,Cliente_226,401
TCP-mean,Cliente_226,3.6046213093709882
RMI,Cliente_117,390
TCP-mean,Cliente_117,3.435173299101412
RMI,Cliente_381,585
TCP-mean,Cliente_381,3.3774069319640563
TCP-stdDev,Cliente_381,49.65543718523193
Errores-TCP,Cliente_381,0
Errores-RMI,Cliente_381,0
RMI,Cliente_376,806
TCP-mean,Cliente_376,2.0115236875800258
TCP-stdDev,Cliente_376,11.840321324779383
Errores-TCP,Cliente_376,0
Errores-RMI,Cliente_376,0
RMI,Cliente_214,0
TCP-mean,Cliente_214,2.5730769230769233
TCP-stdDev,Cliente_214,42.4854550467865
Errores-TCP,Cliente_214,0
Errores-RMI,Cliente_214,0
RMI,Cliente_198,615
TCP-mean,Cliente_198,2.9974326059050065
RMI,Cliente_261,959
TCP-mean,Cliente_261,2.8562259306803592
TCP-stdDev,Cliente_261,40.853284840884875
Errores-TCP,Cliente_261,0
Errores-RMI,Cliente_261,0
TCP-stdDev,Cliente_198,48.341532000236825
Errores-TCP,Cliente_198,0
Errores-RMI,Cliente_198,0
RMI,Cliente_348,1
TCP-mean,Cliente_348,3.7282051282051283
RMI,Cliente_158,927
TCP-mean,Cliente_158,3.051413881748072
TCP-stdDev,Cliente_348,59.64179806365332
Errores-TCP,Cliente_348,0
Errores-RMI,Cliente_348,0
TCP-stdDev,Cliente_158,42.8840120291717
Errores-TCP,Cliente_158,0
Errores-RMI,Cliente_158,0
RMI,Cliente_101,1633
TCP-mean,Cliente_101,1.7355584082156612
RMI,Cliente_307,1648
TCP-mean,Cliente_307,2.2789203084832903
TCP-stdDev,Cliente_101,19.326248555391206
Errores-TCP,Cliente_101,0
Errores-RMI,Cliente_101,0
RMI,Cliente_238,901
TCP-mean,Cliente_238,2.8947368421052633
TCP-stdDev,Cliente_238,43.757139427314726
Errores-TCP,Cliente_238,0
Errores-RMI,Cliente_238,0
RMI,Cliente_134,544
TCP-mean,Cliente_134,3.335897435897436
RMI,Cliente_313,566
TCP-mean,Cliente_313,3.1064102564102565
TCP-stdDev,Cliente_134,51.309693127225756
Errores-TCP,Cliente_134,0
Errores-RMI,Cliente_134,0
RMI,Cliente_225,453
TCP-mean,Cliente_225,3.542307692307692
RMI,Cliente_119,0
RMI,Cliente_175,1237
TCP-stdDev,Cliente_225,54.66796750929844
RMI,Cliente_161,1326
RMI,Cliente_142,959
TCP-mean,Cliente_161,1.7470967741935484
TCP-mean,Cliente_142,3.0435897435897434
TCP-stdDev,Cliente_142,41.50604710265865
Errores-TCP,Cliente_142,0
Errores-RMI,Cliente_142,0
TCP-stdDev,Cliente_161,11.5348801169849
Errores-TCP,Cliente_161,0
Errores-RMI,Cliente_161,0
RMI,Cliente_180,851
TCP-mean,Cliente_180,1.9514066496163682
RMI,Cliente_384,0
TCP-mean,Cliente_384,3.6238767650834403
TCP-stdDev,Cliente_180,10.522667862384207
Errores-TCP,Cliente_180,0
Errores-RMI,Cliente_180,0
TCP-stdDev,Cliente_384,59.57602446026883
Errores-TCP,Cliente_384,0
Errores-RMI,Cliente_384,0
RMI,Cliente_154,953
TCP-mean,Cliente_154,3.0653846153846156
RMI,Cliente_299,1738
TCP-mean,Cliente_299,1.7987179487179488
RMI,Cliente_311,1298
TCP-mean,Cliente_311,1.9408740359897172
TCP-stdDev,Cliente_299,10.59253478767666
Errores-TCP,Cliente_299,0
Errores-RMI,Cliente_299,0
RMI,Cliente_98,1
TCP-mean,Cliente_98,3.0320924261874196
TCP-stdDev,Cliente_98,41.604627805091724
Errores-TCP,Cliente_98,0
Errores-RMI,Cliente_98,0
RMI,Cliente_321,1261
TCP-mean,Cliente_321,2.25
TCP-stdDev,Cliente_321,19.44684570032651
Errores-TCP,Cliente_321,0
Errores-RMI,Cliente_321,0
RMI,Cliente_347,0
TCP-mean,Cliente_347,3.378205128205128
TCP-stdDev,Cliente_347,56.21195499142531
Errores-TCP,Cliente_347,0
Errores-RMI,Cliente_347,0
RMI,Cliente_227,1
TCP-mean,Cliente_227,2.9153846153846152
TCP-stdDev,Cliente_227,41.758745673651305
Errores-TCP,Cliente_227,0
Errores-RMI,Cliente_227,0
RMI,Cliente_107,0
TCP-mean,Cliente_107,2.8294871794871796
TCP-stdDev,Cliente_107,45.98676400704453
Errores-TCP,Cliente_107,0
Errores-RMI,Cliente_107,0
RMI,Cliente_293,1230
TCP-mean,Cliente_293,2.3401797175866497
TCP-stdDev,Cliente_293,18.992561626688726
Errores-TCP,Cliente_293,0
Errores-RMI,Cliente_293,0
RMI,Cliente_92,405
TCP-mean,Cliente_92,2.145431145431145
RMI,Cliente_51,1
TCP-stdDev,Cliente_92,16.15635341996585
Errores-TCP,Cliente_92,0
Errores-RMI,Cliente_92,0
RMI,Cliente_378,2
TCP-mean,Cliente_378,3.0539845758354756
RMI,Cliente_266,1
TCP-mean,Cliente_266,3.501925545571245
RMI,Cliente_375,510
TCP-mean,Cliente_375,3.296915167095116
RMI,Cliente_37,3
TCP-mean,Cliente_37,3.5346153846153845
TCP-stdDev,Cliente_37,58.539292802143905
Errores-TCP,Cliente_37,0
Errores-RMI,Cliente_37,0
RMI,Cliente_201,1
TCP-mean,Cliente_201,3.2362002567394095
TCP-stdDev,Cliente_201,56.646965857751454
Errores-TCP,Cliente_201,0
Errores-RMI,Cliente_201,0
RMI,Cliente_18,545
TCP-mean,Cliente_18,3.0154043645699615
TCP-stdDev,Cliente_18,51.205215444958235
Errores-TCP,Cliente_18,0
Errores-RMI,Cliente_18,0
RMI,Cliente_36,957
TCP-mean,Cliente_36,2.8115384615384613
TCP-stdDev,Cliente_36,40.90024287047653
Errores-TCP,Cliente_36,0
Errores-RMI,Cliente_36,0
RMI,Cliente_322,1
TCP-mean,Cliente_322,2.9
TCP-stdDev,Cliente_322,43.11844450360289
Errores-TCP,Cliente_322,0
Errores-RMI,Cliente_322,0
RMI,Cliente_139,1607
TCP-mean,Cliente_139,1.8894601542416452
TCP-stdDev,Cliente_139,16.178967493901645
Errores-TCP,Cliente_139,0
Errores-RMI,Cliente_139,0
RMI,Cliente_354,1302
TCP-mean,Cliente_354,1.934278350515464
TCP-stdDev,Cliente_354,12.657138495394383
Errores-TCP,Cliente_354,0
Errores-RMI,Cliente_354,0
RMI,Cliente_360,1396
TCP-mean,Cliente_360,1.893041237113402
TCP-stdDev,Cliente_360,9.70347227831524
Errores-TCP,Cliente_360,0
Errores-RMI,Cliente_360,0
RMI,Cliente_77,387
TCP-mean,Cliente_77,1.9691516709511567
TCP-stdDev,Cliente_77,13.043395025032826
