200,Clientes,Prueba 1
RMI,Cliente_106,556
TCP-mean,Cliente_106,0.9184100418410042
TCP-stdDev,Cliente_106,3.5628892627768756
Errores-TCP,Cliente_106,0
Errores-RMI,Cliente_106,0
RMI,Cliente_38,165
RMI,Cliente_55,178
TCP-mean,Cliente_55,0.9382522239665096
TCP-mean,Cliente_38,0.9199790794979079
TCP-stdDev,Cliente_55,5.917305318341244
Errores-TCP,Cliente_55,0
Errores-RMI,Cliente_55,0
RMI,Cliente_154,558
TCP-stdDev,Cliente_38,6.023869744120044
Errores-TCP,Cliente_38,0
Errores-RMI,Cliente_38,0
TCP-mean,Cliente_154,0.9592263460533194
TCP-stdDev,Cliente_154,4.13739589297638
Errores-TCP,Cliente_154,0
Errores-RMI,Cliente_154,0
RMI,Cliente_89,460
RMI,Cliente_87,7
TCP-mean,Cliente_89,0.9037153322867608
TCP-mean,Cliente_87,0.8295870360690015
RMI,Cliente_197,565
TCP-stdDev,Cliente_89,3.2583093166394845
TCP-mean,Cliente_197,0.9250524109014675
TCP-stdDev,Cliente_87,1.492697921576977
TCP-stdDev,Cliente_197,3.8850276012741776
Errores-TCP,Cliente_197,0
Errores-TCP,Cliente_89,0
Errores-RMI,Cliente_89,0
Errores-RMI,Cliente_197,0
Errores-TCP,Cliente_87,0
Errores-RMI,Cliente_87,0
RMI,Cliente_131,559
RMI,Cliente_52,507
RMI,Cliente_4,570
TCP-mean,Cliente_4,0.9089481946624803
TCP-stdDev,Cliente_4,3.8829119518048927
Errores-TCP,Cliente_4,0
Errores-RMI,Cliente_4,0
RMI,Cliente_19,159
TCP-mean,Cliente_19,0.9607329842931938
TCP-stdDev,Cliente_19,6.043474910308699
Errores-TCP,Cliente_19,0
Errores-RMI,Cliente_19,0
RMI,Cliente_16,549
TCP-mean,Cliente_16,0.8199895342752486
TCP-stdDev,Cliente_16,2.8841286398846497
Errores-TCP,Cliente_16,0
Errores-RMI,Cliente_16,0
RMI,Cliente_110,554
TCP-mean,Cliente_52,0.8404811715481172
TCP-stdDev,Cliente_52,2.86502013156058
Errores-TCP,Cliente_52,0
Errores-RMI,Cliente_52,0
TCP-mean,Cliente_110,0.8612565445026178
TCP-stdDev,Cliente_110,3.8375543712091322
Errores-TCP,Cliente_110,0
Errores-RMI,Cliente_110,0
TCP-mean,Cliente_131,0.9189754312598014
TCP-stdDev,Cliente_131,3.799636898480635
Errores-TCP,Cliente_131,0
Errores-RMI,Cliente_131,0
RMI,Cliente_177,523
RMI,Cliente_134,562
TCP-mean,Cliente_134,0.9163179916317992
TCP-stdDev,Cliente_134,3.853801231557638
Errores-TCP,Cliente_134,0
Errores-RMI,Cliente_134,0
TCP-mean,Cliente_177,0.9063317634746206
TCP-stdDev,Cliente_177,2.938425606926673
Errores-TCP,Cliente_177,0
Errores-RMI,Cliente_177,0
RMI,Cliente_136,562
TCP-mean,Cliente_136,0.9068550497121926
TCP-stdDev,Cliente_136,3.529899217697348
Errores-TCP,Cliente_136,0
Errores-RMI,Cliente_136,0
RMI,Cliente_61,161
TCP-mean,Cliente_61,1.0109947643979058
TCP-stdDev,Cliente_61,6.062966681339408
Errores-TCP,Cliente_61,0
Errores-RMI,Cliente_61,0
RMI,Cliente_127,565
TCP-mean,Cliente_127,0.7995813710099424
TCP-stdDev,Cliente_127,3.49060484287073
Errores-TCP,Cliente_127,0
Errores-RMI,Cliente_127,0
RMI,Cliente_6,556
TCP-mean,Cliente_6,0.9183246073298429
TCP-stdDev,Cliente_6,2.3758446983664423
Errores-TCP,Cliente_6,0
Errores-RMI,Cliente_6,0
RMI,Cliente_182,553
TCP-mean,Cliente_182,0.9162742019884877
TCP-stdDev,Cliente_182,2.884902133594521
Errores-TCP,Cliente_182,0
Errores-RMI,Cliente_182,0
TCP-stdDev,Cliente_161,4.826994832725254
Errores-TCP,Cliente_161,0
Errores-RMI,Cliente_161,0
TCP-stdDev,Cliente_51,1.4664854178639772
Errores-TCP,Cliente_51,0
Errores-RMI,Cliente_51,0
RMI,Cliente_57,569
TCP-mean,Cliente_57,0.8754578754578755
TCP-stdDev,Cliente_57,3.8456863487028228
Errores-TCP,Cliente_57,0
Errores-RMI,Cliente_57,0
TCP-stdDev,Cliente_116,3.862504855130045
Errores-TCP,Cliente_116,0
Errores-RMI,Cliente_116,0
TCP-mean,Cliente_198,0.8128593831677993
TCP-stdDev,Cliente_198,3.2219681493535437
Errores-TCP,Cliente_198,0
Errores-RMI,Cliente_198,0
TCP-stdDev,Cliente_26,3.8516286010548413
Errores-TCP,Cliente_26,0
Errores-RMI,Cliente_26,0
RMI,Cliente_83,569
TCP-mean,Cliente_83,0.858189429618001
TCP-stdDev,Cliente_83,2.378669528543476
Errores-TCP,Cliente_83,0
Errores-RMI,Cliente_83,0
